frank f. de groot;alain  fontaine
rajeev  ahuja;john m. wills
peter  weinberger;a. j. arko
g. w. weimann;dieter  weiss
richard t. scalettar;thomas peter devereaux
p. s. thomas;stephan w. koch
x. c. xie;sankar  das sarma
p. a. knipp;v. d. kulakovskii
john m. tranquada;isao  tanaka
laurent j. lewis;martti j. puska
g. w. weimann;gerhard  abstreiter
dave g. hinks;ernst  bucher
yoshinobu  aoyagi;giyuu  kido
bo  monemar;weimin m. chen
marc a. kastner;robert j. birgeneau
henry  mathieu;stephan  glutsch
bruno k. meyer;axel  hoffmann
richard t. scalettar;douglas j. scalapino
françois m. peeters;jozef t. devreese
elisa  molinari;p. s. thomas
robert l. stamps;robert e. camley
jerry m. olson;m. e. raikh
richard e. watson;m.  weinert
g. h. li;manuel  cardona
klaus  kern;karsten w. jacobsen
k. m. ho;manfred  fähnle
michael  schreiber;leonardo  degiorgi
amy y. liu;david j. singh
david a. huse;alan t. dorsey
r. s. liu;w. c. lee
a. h. lacerda;lev n. bulaevskii
toshizo  fujita;isao  tanaka
d. s. kim;loren n. pfeiffer
josé a. riera;adriana  moreo
alfred  forchel;p. a. knipp
f. j. lamelas;j. a. mydosh
david a. drabold;peter a. fedders
friedhelm  bechstedt;rodolfo  del sole
y. q. zhou;j. f. wang
k. m. ho;m. m. sigalas
börje  johansson;per  söderlind
allan h. macdonald;luis  brey
janusz  kanski;ulf o. karlsson
david j. singh;dimitrios a. papaconstantopoulos
a. peter young;s. m. girvin
c. y. chen;manuel  cardona
r.  heitz;axel  hoffmann
tobias  ruf;klaus h. ploog
klaus  maschke;michael  schreiber
alois a. menovsky;gerard j. nieuwenhuys
d. s. kim;h. g. luo
fulvio  parmigiani;z. x. shen
arthur j. epstein;jean paul pouget
takeshi  egami;masashi  tachiki
john m. tranquada;kunimitsu  uchinokura
hans l. skriver;börje  johansson
z. x. shen;fulvio  parmigiani
m.  sundaram;dieter  bimberg
g. w. weimann;bruno k. meyer
wolfgang  eberhardt;y. s. gao
alexei m. tsvelik;lev b. ioffe
costas m. soukoulis;k. m. ho
allan h. macdonald;h. a. fertig
matthew a. fisher;s. m. girvin
luis  brey;allan h. macdonald
gerd  schön;leonid i. glazman
geoff  thornton;gerrit  van der laan
françois m. peeters;gustaaf  borghs
sandro  massidda;alessandra  continenza
paolo  butera;m.  comi
jeffrey w. lynn;r.  nagarajan
boyd w. veal;heinrich m. jaeger
thomas a. callcott;franz j. himpsel
j. l. peng;doon  gibbs
sankar  das sarma;h. d. drew
p. s. thomas;elisa  molinari
yoshinori  tokura;yoshihiro  iwasa
f. c. chou;james d. jorgensen
klaus  köhler;loren n. pfeiffer
m. p. maley;lev n. bulaevskii
andreas  waag;g.  landwehr
alexander i. liechtenstein;igor i. mazin
s. lance cooper;boyd w. veal
thomas l. reinecke;alfred  forchel
claudio  castellani;marco  grilli
ph.  lambin;x. c. gonze
q. z. huang;ross w. erwin
alan r. bishop;boris i. ivlev
p. o. holtz;magnus  willander
c.  stassis;david c. johnston
pawel  hawrylak;juan josé palacios
m.  comi;paolo  butera
bo¨rje  johansson;o. e. eriksson
lev n. bulaevskii;alan r. bishop
jozef t. devreese;françois m. peeters
risto m. nieminen;laurent j. lewis
j. l. merz;p. o. holtz
paul m. marcus;matthias  scheffler
l.  soderholm;c. k. loong
giyuu  kido;t. t. suzuki
josé a. riera;didier  poilblanc
y. s. gao;wolfgang  eberhardt
jürg  osterwalder;philipp  aebi
heinrich m. jaeger;s.  radelaar
adriana  moreo;elbio r. dagotto
sandro  massidda;alfonso  baldereschi
s. m. girvin;mats  wallin
malcolm r. beasley;aharon  kapitulnik
joseph c. woicik;k. e. miyano
zachary  fisk;a. h. lacerda
w. c. lee;r. s. liu
manuel  cardona;lars  börjesson
sunil k. sinha;s. i. uchida
alois a. menovsky;gianni  blatter
manuel  cardona;c. y. chen
bruno k. meyer;r.  heitz
lászló  szunyogh;rudolf  zeller
a. h. lacerda;s  w. cheong
dieter  weiss;c. t. foxon
alessandra  continenza;arthur j. freeman
igor i. mazin;ole k. andersen
david l. ederer;louis j. terminello
george w. crabtree;u. w. welp
p. l. gammel;david a. huse
isao  tanaka;yasuo  endoh
arthur c. gossard;dieter  bimberg
eduard n. bogachek;uzi  landman
q. z. huang;jeffrey w. lynn
rajeev  ahuja;bo¨rje  johansson
peter b. littlewood;richard j. needs
yvan  bruynseraede;ivan k. schuller
fausto  rossi;klaus h. ploog
jörg p. kotthaus;klaus  ensslin
mildred s. dresselhaus;peter c. eklund
d. s. kim;l. j. sham
saul b. oseroff;j. d. thompson
arthur j. freeman;james d. jorgensen
takeshi  egami;s. i. uchida
juan josé palacios;carlos  tejedor
herbert h. chen;john b. goodenough
manuel  cardona;j. w. wagner
