sheldon  datz;s.  huldt
k. a. aniol;f.  entezami
j. p. desclaux;d.  girard-vernhet
c. r. vidal;kenzo  miyazaki
j. h. smart;victor  pol
richard n. watts;s. l. gilbert
kenneth i. golden;gabor j. kalman
vernon w. hughes;m. j. alguard
alex  dalgarno;a.  sternberg
pranawa c. deshmukh;k. t. cheng
robert  blinc;j.  slak
ronald e. olson;h. f. beyer
j. m. viner;c. c. huang
wallace l. glab;g. barry hillard
walter r. johnson;dietmar  kolb
n.  stolterfoht;m.  prost
e. g. sudarshan;n.  mukunda
j. m. woolsey;c. g. back
u.  hefter;roy d. mead
f.  entezami;k. a. aniol
keizo  ishii;h.  arai
georges  raseev;robert r. lucchese
k.  okuno;norio  kobayashi
h.  gerhardt;l. a bloomfield
young k. bae;james ray peterson
andrzej  pȩkalski;dale a. huckaby
a. g. de pinho;ricardo j. horowicz
e.  spindler;friedhelm  bell
eshel  ben-jacob;yoseph  imry
guy m. weyl;david i. rosen
sheldon l. katz;josé maría sancho
md.  salimullah;farida  majid
man  mohan;karl h. spatschek
f.  gounand;thomas f. gallagher
y.  botzanowski;lewis s. klein
arie  zigler;e.  meroz
l.  steenman-clark;m.  bitter
z.  guzik;a. s. vodopianov
a. s. kanofsky;z.  guzik
m.  finkenthal;einar  hinnov
christopher  bottcher;t. g. heil
s.  watkin;h. q. porter
samuel m. harris;r. d. griffin
doreen a. weinberger;william h. wing
gene f. mazenko;john j. toner
jason c. gallas;augusto b. d'oliveira
william  williamson;david g. ellis
phillip  sprangle;c. m. tang
b. j. matkowsky;david j. bergman
karl h. spatschek;e. w. laedke
eliane  luc-koenig;j. f. wyart
w. e. wells;l. w. downes
william e. baylis;s. j. peel
y.  yerachmiel;y.  gabai
bruce j. mckellar;kyung sik kang
j. l. hunt;j. h. richardson
peter  hanggi;fatemeh  mojtabai
frithjof  karsch;david e. miller
g. o. williams;z.  guzik
h.  neumann;b. k. van zyl
j.  birchall;m. l. al-ghazi
elisabeth  giacobino;h. h. stroke
t. s. nigmanov;a. s. kanofsky
victor  kaufman;t. l. pittman
baruch  rosner;r. h. schuch
j. p. chabrat;l.  letamendia
jiang  zhan-kui;c.  levinson
sergio a. maluendes;eduardo a. castro
thomas  lackner;otto j. eder
r. h. pratt;m.  lamoureux
lawrence s. schulman;lorenzo m. narducci
donald harvey stork;g. o. williams
s.  von goeler;jacques  dubau
k.  aashamar;per a. amundsen
thomas f. gallagher;f.  gounand
c.  florea;o.  savin
winthrop w. smith;r. w. hamm
james s. langer;heiner  müller-krumbhaar
g.  sultan;j.  godart
hiroshi  fukui;norio  kobayashi
k.  rza̧z̧ewski;joseph h. eberly
dezsö  horváth;f.  entezami
m. f. ross;francis h. ree
john  keller;john  weiner
u. e. becker;p. h. kobrin
j. f. bak;r.  regall
ferdinando  de pasquale;paolo  tombesi
p.  muralt;gervais  chapuis
a.  wokaun;j. e. bjorkholm
j  c. gauthier;john  keller
c. l. sharma;r. k. pathria
c. e. singer;william d. langer
philip l. pepmiller;d. c. gregory
n.  papanicolaou;leonard d. mlodinow
robert  anholt;john s. blair
m. m. schauer;marianne  breinig
koichi  sato;einar  hinnov
claire  bauche-arnoult;m.  klapisch
l.  steenman-clark;paul  faucher
p.  venkataramaiah;k. gundu rao
j.  stecki;s. a. wieczorek
donald harvey stork;t. s. nigmanov
chris h. greene;richard n. zare
manuel  yáñez;alfredo  macías
a.  bordenave-montesquieu;p.  benoit-cattin
shonosuke  ohta;masakazu  yamazaki
william h. louisell;hans  risken
masakazu  kunitomo;takasi  endo
k. b. ma;s. t. chui
h. m. lai;wai  mo suen
j.  slak;robert  blinc
carl e. wieman;s. l. gilbert
david  stoler;malvin carl teich
leif  liljeby;roman  laubert
josé m. soler;nicolás  garcía
f.  gounand;n. h. tran
c. e. burkhardt;j. j. leventhal
roberto  bartolino;m.  meuti
james m. peek;edward j. shipsey
nils  elander;c. h. obcemea
ivan a. sellin;g. d. alton
henry s. greenside;jack b. swift
richard a. ferrell;h. c. burstyn
mohan  lal;m. k. srivastava
robert  anholt;doris h. jakubassa-amundsen
werner  groh;h. f. beyer
kingsley w. jones;philip l. pepmiller
e. b. saloman;shardanand
hiroyuki  tawara;k.  okuno
f.  gounand;m.  hugon
brad lee holian;galen k. straub
sow hsin chen;p.  joubert
federico  casagrande;luigi a. lugiato
michael  kotlarchyk;john s. huang
fred  lado;stephen m. foiles
t. s. nigmanov;mahmoud a. hasan
j.  slak;raymond  kind
h.  tootoonchi;kenneth b. butterfield
b. r. müller;joachim  reinhardt
robert c. allen;donald harvey stork
robert w. clark;j. p. apruzese
m. n. uddin;m. s. dababneh
m.  rogge;w.  hürlimann
h. u. rahman;m. y. yu
j. s. forster;r.  regall
david j. rowe;moyez g. vassanji
b.  bhattacharyya;manoranjan  khan
g.  vassilev;c. g. back
ravinder  kachru;wolfgang  sandner
walter m. gibson;c. r. sun
george  stell;esteban  martina
alfred  müller;h. f. beyer
f.  entezami;david f. measday
d. s. belic;r. a. phaneuf
kazimierz  rzażewski;joseph h. eberly
amal k. das;a. c. roy
c. dal cappello;m. dal cappello
theodore w. ducas;hajo  kuiper
chun ching  shih;maria zales caponi
l. p. benofy;a. r. plastino
james s. cohen;b. w. west
victor  pol;j. h. smart
j. m. raimond;guy  vitrant
john  keller;regina  bonanno
r. t. robiscoe;robert r. lewis
james g. brennan;david j. land
indrek  martinson;j. o. ekberg
sidney  yip;william e. alley
m.  glass-maujean;k.  dressler
john f. ogilvie;r. h. tipping
l. h. toburen;c. a. ratcliffe
martin  neumann;marco  zoppi
d. h. schneider;m.  prost
n. n. nedeljkovic;charles j. joachain
daniel  ben-avraham;shlomo  havlin
g. a. glass;roman  laubert
p.  grafström;c.  levinson
serge  haroche;j. m. raimond
tong w. shyn;william e. sharp
peter s. riseborough;peter  hänggi
p. k. srivastava;k. v. sane
k.  hamano;n.  aoyama
shardanand;john w. cooper
d. g. welsch;krzysztof  wódkiewicz
gerald j. diebold;david l. mcfadden
s. k. sur;b.  barmanray
charles k. rhodes;d. f. muller
daniel a. beysens;yves  garrabos
mei li  shih;peter w. milonni
hiroshi  fukui;j.  sohma
john m. dawson;toshiki  tajima
donald r. beck;yannis  komninos
k. a. aniol;dezsö  horváth
p. taverna valabrega;e.  miraldi
carlos a. cajas;helmut r. brand
james m. hall;m.  terasawa
alfredo  macías;a.  riera
mei li  shih;jay r. ackerhalt
piotr  froelich;ernest r. davidson
ch. k. kwan;m. s. dababneh
jörg m. eichler;t. s. ho
ivan a. sellin;sheldon  datz
paul  faucher;c.  camhy-val
l. j. yu;a. refik kortan
l.  schellenberg;k.  kaeser
n.  rud;p. t. nielsen
daniel f. walls;peter d. drummond
g.  zannoli;d.  otero
serge  feneuille;j.  pinard
robert j. birgeneau;benjamin m. ocko
wilfried  meyer;reinhard  schinke
b. l. chrisman;a. s. kanofsky
tomoaki  yabe;kunioki  mima
r. e. miers;j. e. gastineau
frederic a. hopf;hyatt m. gibbs
alfred s. schlachter;j. a. tanis
claude  fabre;hajo  kuiper
s.  liberman;amina  taleb
k. h. streng;g. peter lepage
m.  klapisch;p.  mandelbaum
zeev  vager;elliot p. kanter
l. c. pitchford;satoshi  yoshida
m. w. gealy;b. k. van zyl
e.  fabre;r.  fabbro
renato  gallico;alexander  tenenbaum
h. d. sato;ronald e. olson
dan  agassi;k.  rza̧z̧ewski
millard h. alexander;john e. straub
t.  tonuma;masato  nishida
l. h. toburen;r. d. dubois
ramakrishna  gowda;b.  sanjeevaiah
yasunori  yamazaki;nobuo  oda
j.  meissburger;g. a. berg
giovanni  stefani;r.  camilloni
joel i. gersten;z. x. yu
thomas e. lockhart;mary e. neubert
s.  hagmann;a.  skutlartz
j  f. delpech;f.  gounand
samuel a. cohen;koichi  sato
j. c. pratt;r. w. hamm
james a. slevin;h. q. porter
manuel  de llano;mauricio  fortes
a.  bagheri;k. a. aniol
hiroshi  kumagai;akira  hitachi
william j. o'sullivan;noel a. clark
yohko  awaya;tan  takahashi
doris h. jakubassa-amundsen;robert  anholt
a.  lahmam-bennani;c.  tavard
e.  redd;v. c. sutcliffe
j. e. bjorkholm;p. f. liao
c. h. obcemea;e. j. brändas
i. b. nemirovsky;c. r. garibotti
toshiki  tajima;m.  ashour-abdalla
h. l. raiti;raúl a. baragiola
s.  tsurubuchi;masahiro  kimura
david i. rosen;jack  wilson
edward j. robinson;robin  shakeshaft
