a.  huetz;d.  vichon
grzegorz  lapicki;roman  laubert
g. f. hildebrandt;r. f. stebbings
l. j. schaad;john p. wikswo
donald s. gemmell;k.  inglis
a. p. rau;d. j. hylton
s.  von goeler;robert d. cowan
d. e. post;russell a. hulse
ryusuke  kono;yasuhiro  miyake
salim n. jabr;wm. r. bennett
jerry l. peacher;j. e. aldag
j.  mazeau;a.  huetz
michael j. lindenfeld;gregory e. garland
t.  noreland;a.  bengtson
g. zu putlitz;t. w. crane
thomas h. bergeman;frederick  raab
tore  olsen;t. n. chang
glenn h. miller;james m. hoffman
aaron d. krumbein;raju u. datla
william l. schaich;michael j. mehl
l.  letamendia;sow hsin chen
m.  de saint-simon;hong tuan duong
james w. taylor;david  mehaffy
h.  fietz;a.  beckmann
baruch  rosner;i.  gertner
p. a. souder;h.  orth
c. s. hsu;raymond d. mountain
f.  gounand;wolfgang  sandner
a. w. mckellar;r. l. sinclair
steven l. carter;ellen r. brown
d.  dowek;victor  sidis
k. g. whitney;dwight  duston
gregory j. hatton;neal f. lane
d.  vichon;j.  mazeau
b. b. srivastava;m.  kovacs
fritz  haake;guntram  schröder
x.  husson;jean  désesquelles
richard p. hackel;l. a. hackel
benjamin m. ocko;gerald b. kasting
john e. thomas;w. w. quivers
mukunda p. das;a. k. rajagopal
paul w. schmidt;e.  gürmen
d. m. blankenship;p. j. martin
gilles  sigaud;r. j. tarento
b.  jacquot;s.  dousson
b.  liberman;phillip  sprangle
daniel c. lu;p. a. souder
d.  umberger;r. l. day
lothar  frommhold;michael h. proffitt
sanwal p. sarraf;leonard m. goldman
lloyd a. hackel;d. b. scarl
a. r. plastino;g.  zannoli
d. m. blankenship;jerry l. peacher
y.  sakagami;chiyoe  yamanaka
myron h. miller;j.  richou
shmuel  shtrikman;r. m. hornreich
william g. hoover;bill  moran
brad lee holian;hermann  flaschka
abraham  szoke;d.  prosnitz
gene e. ice;fernando  parente
manoranjan  khan;biswajit  chakraborty
jeffrey c. halle;wade l. fite
a.  touati;jean pierre rozet
mitio  inokuti;t.  baer
l. c. mcintyre;joseph j. spezeski
chai shing lai;b.  suen
m.  vedder;edward  pollack
jonathan  machta;irwin  oppenheim
myron h. miller;truong-bach
gordon a. gallup;stanley j. sramek
sidney  yip;e.  leutheusser
c. l. cromer;s. a. bhatti
william  happer;m.  ligare
john d. mccullen;douglas w. jones
j. l. dehmer;t.  baer
a.  kponou;charles e. johnson
ronald e. olson;alfred s. schlachter
hiroshi  ryufuku;ken  sasaki
max  goldstein;werner  brandt
j. j. dupin;a. g. bois
w.  neuhauser;peter e. toschek
r. i. hall;a.  huetz
a.  yamadera;s. m. morita
e. b. justiniano;r. d. dubois
m. e. schillaci;c. j. orth
a. j. ratkowski;w. j. pietsch
m.  kamiya;a.  yamadera
j.  campos;Ö.  staaf
g. b. mcmillian;f. g. kellert
brant m. johnson;james m. hall
w.  prior;winston h. bostick
c.  fleurier;gérard  coulaud
james m. hall;patrick  richard
saul  meiboom;m. j. sammon
u. c. satapathy;b. k. rao
k. a. holder;r. h. lehmberg
william e. sharp;tong w. shyn
richard p. hackel;shaoul  ezekiel
jacek  chrostowski;w. j. mielniczuk
s. e. frolking;john j. wright
y.  baudinet-robinet;h. p. garnir
t. a. postol;c. a. pelizzari
y. z. gulkok;larry d. gardner
e. m. szanto;wayne a. seale
s.  huldt;boël  denne
joseph j. spezeski;o. f. kalman
harris j. silverstone;joseph e. avron
k. a. green;john j. kozak
m. eugene rudd;john s. risley
john a. duncanson;ring ling  chien
t. j. kvale;p. j. martin
simon s. yu;eugene j. lauer
b. c. sanctuary;frank  garisto
james e. bayfield;david j. pegg
j. j. tulkki;olavi  keski-rahkonen
m. h. yam;daniel c. lu
john r. cary;allan n. kaufman
j. l. davis;paul c. kepple
n. castro faria;j. c. poizat
a.  riera;alfredo  macías
johannes  richter;p. l. altick
laszlo  palffy;p.  pellegrin
bidhan c. saha;pritam p. ray
matthew s. lucas;philip d. miller
tom j. gray;kingsley w. jones
j. l. dehmer;jon  siegel
chun c. lin;l. wilmer anderson
david j. wineland;wayne m. itano
s. h. chang;jon alan wright
david c. cartwright;hitoshi  nishimura
a. ganesh vaidyanathan;william p. spencer
charles d. boley;g.  tenti
niels hessel andersen;edward  pollack
patrick  richard;kingsley w. jones
hugh p. kelly;steven l. carter
patrick  richard;james r. macdonald
f.  gresteau;i.  Čadež
l.  letamendia;j.  rouch
w. e. schwarz;d. h. schneider
b.  sollenberger;j. l. flinner
enrique  tirapegui;d.  roekaerts
john r. white;c. c. bahr
p. g. pappas;michael m. burns
g. l. ogram;j. s. chang
edward b. rockower;n. b. abraham
p. s. ganas;james d. talman
shinya  kasai;e. a. lazarus
u. c. satapathy;d. n. tripathy
john d. mcnutt;p. g. coleman
stephen r. lundeen;b. o. clark
jeffrey  bokor;daniel j. kligler
t. s. stein;w. e. kauppila
r. f. stebbings;gregory j. hatton
jörg m. eichler;takeshi  ishihara
matthew s. lucas;g. d. alton
masayuki  uda;kuniko  maeda
s.  nakaichi;yoshinori  akaishi
brahmananda  dasgupta;gautam  ghosh
richard g. brewer;satoru s. kano
john p. wikswo;william m. fairbank
peter l. smith;william h. parkinson
mario  gronchi;murray  sargent
sam s. s. huang;gordon r. freeman
hiroyuki m. tanaka;sandor  trajmar
w.  wilhelm;r.  bergmann
john w. farley;j. t. shy
thomas g. winter;gregory j. hatton
bruce w. shore;michael a. johnson
peter l. lee;semaan i. salem
j. warren stearns;ronald e. olson
paul o. taylor;r. a. phaneuf
m.  cattani;v. s. walder
jonathan  roth;marvin  bishop
a. k. edwards;elliot p. kanter
s. e. harris;d. m. o'brien
j.  pinard;c.  thibault
b.  rooney;t. j. tseng
p.  ortoleva;s. l. schmidt
theodore w. ducas;a. ganesh vaidyanathan
j. m. george;jerry l. peacher
l.  foreman;h.  ted davis
i.  gertner;mati  meron
a. w. mccown;wallace l. glab
t. w. hansch;james e. lawler
g. l. schmidt;robert a. naumann
roman  laubert;grzegorz  lapicki
p. b. abraham;harry e. moses
paulett c. liewer;john m. dawson
lászló  sarkadi;takeshi  mukoyama
j. p. miller;f.  boehm
norman  gee;gordon r. freeman
william h. louisell;pierre  meystre
j.  osmundsen;l. a. bahler
joel i. gersten;milivoj  belic
j. f. giuliani;j.  van laak
m. s. dababneh;t. s. stein
walter e. thirring;heide  narnhofer
jacek  chrostowski;andrzej  zardecki
john a. leavitt;richard  marrus
john t. park;t. j. kvale
marek  polasik;karol  jankowski
d.  vichon;i.  Čadež
h. p. garnir;t. j. gay
jiří  Čížek;josef  paldus
r. stephen berry;john c. hansen
daniel  kleppner;michael m. kash
david h. schwamb;s. r. smith
n. w. carlson;kim m. jones
gerhard  huber;hong tuan duong
j. h. simpson;philip a. heimann
m. g. payne;michael s. pindzola
terry a. miller;michael  rosenbluh
thomas n. rescigno;andrew u. hazi
roman  laubert;werner  brandt
arthur l. schawlow;n. w. carlson
jean marie vigoureux;daniel  van labeke
r. s. peterson;peter m. koch
ch.  jung;howard s. taylor
d. e. murnick;p. g. pappas
suresh v. lawande;s. g. menon
peter d. drummond;c. v. kunasz
eckhard  krotscheck;hermann g. kümmel
steven p. ahlen;k. c. crebbin
a. b. denison;vernon w. hughes
j.  pinard;m.  de saint-simon
nimrod  moiseyev;frank  weinhold
ellen r. brown;hugh p. kelly
p. e. chumbley;j. s. lin
mary e. neubert;philip j. bos
joseph h. eberly;m. j. konopnicki
kang l. wang;r. j. powers
n. v. udeh;b.  sollenberger
c. c. bahr;a.  langenberg
annette  lecourt;m. c. dharma-wardana
shunsuke  ohtani;h. s. suzuki
matt d. brown;matthew s. lucas
alain  denis;m.  druetta
s. e. kuhn;h.  villinger
h. s. suzuki;fumihiro  koike
sumiaki  ibuki;kazunaru  tomishima
p.  greve;r. s. hornady
abraham  nitzan;bjarne  andresen
k. j. nygaard;erich  weigold
satoru s. kano;richard g. brewer
barry d. krawchuk;marvin  bishop
robert a. fisher;bernard j. feldman
a. f. bernhardt;bruce w. shore
bernardo  jaduszliwer;thomas m. miller
c.  fleurier;p.  ranson
p.  clippe;jacek m. kowalski
michael c. rushford;lloyd a. hackel
richard w. lee;j. d. kilkenny
biswajit  chakraborty;manoranjan  khan
dan  dill;jon  siegel
balazs f. rozsnyai;john w. cooper
thomas  hoffmann-ostenhof;john d. morgan
stuart m. rothstein;frederick w. king
r.  bergmann;w.  wilhelm
r.  bergmann;t.  von egidy
anil k. pradhan;david g. hummer
j. l. dehmer;mitio  inokuti
matt d. brown;ali a. antar
richard b. hickman;anthony c. ladd
r. h. storz;jeffrey  bokor
r. i. hall;i.  Čadež
tom j. gray;cüneyt  can
j. l. flinner;b.  sollenberger
d. h. schneider;h. c. werner
michael s. pindzola;a. k. bhatia
akira  yagishita;shunsuke  ohtani
b. r. tambe;steven trent manson
peter m. koch;r. s. peterson
m. g. menendez;m. m. duncan
w. a. roney;r. v. ribas
peter  winkler;p. l. altick
james h. mcguire;v. c. sutcliffe
klaus h. berkner;robert v. pyle
j. p. downing;y. k. ho
t. w. crane;vernon w. hughes
lars  engström;erling  veje
c. wang chang;bernard  laskowski
fabrizio  barocchi;s. f. shirron
Ö.  staaf;a.  bengtson
m.  kamiya;k.  sera
noel a. clark;charles  rosenblatt
john t. park;j. e. aldag
p. h. edmonds;j. l. dunlap
p.  juncar;p. l. pillet
g.  gousset;b.  dubreuil
kunizo  onda;donald g. truhlar
robert l. brooks;hans r. griem
daniel c. lu;p. a. thompson
john  keller;j  c. gauthier
ann e. orel;thomas n. rescigno
guntram  schröder;fritz  haake
p. h. edmonds;shinya  kasai
claudio  leone;rosalia  zangara
bruce c. garrett;donald g. truhlar
f.  touchard;p.  jacquinot
s. c. mukherjee;shyamal  datta
j. l. firpo;j. j. dupin
h. r. zeller;j.  bernasconi
gerald l. payne;j. d. perez
donald j. harter;paul  narum
mark h. phillips;chun c. lin
helge  knudsen;preben  hvelplund
john g. zabolitzky;hermann g. kümmel
ove  poulsen;s. m. bentzen
karl h. spatschek;padma kant shukla
p. a. souder;h. w. reist
p.  jacquinot;p. l. pillet
l.  foreman;h. ted davis
s.  wakid;aaron  temkin
szymon  suckewer;einar  hinnov
martine  le berre-rousseau;elisabeth  ressayre
bernardo  jaduszliwer;paul  weiss
l. c. mcintyre;s. r. ryan
per  kaijser;j. k. simons
gérard  coulaud;p.  ranson
paul  narum;robert w. boyd
p.  lebrun;p.  pellegrin
d.  umberger;t. s. ho
vishnu r. marathe;siegfried  lauer
gerald t. moore;marlan o. scully
k. f. huang;m.  le dourneuf
d. o. heddle;gordon h. dunn
claude  fabre;philippe  goy
michael e. kellman;r. d. poliak
kennedy j. reed;jose d. garcia
f. d. mcdaniel;george  basbas
daniel  kleppner;theodore w. ducas
n.  chaudhuri;s. c. das
s.  dousson;b.  jacquot
richard m. schectman;h. gordon berry
donald s. gemmell;bruce j. zabransky
j. l. vialle;gerhard  huber
giacinto  scoles;davide  bassi
bernardo  jaduszliwer;benjamin  bederson
j. j. leventhal;v. s. kushawaha
a. m. robinson;john  reid
sakae  shimizu;tatsumi  kawaratani
e.  leutheusser;sidney  yip
d. e. murnick;d. d. hinshelwood
j. o. ekberg;lars  engström
yaakov  shima;haim  yatom
robert f. benjamin;charles k. rhodes
marcos  ley-koo;melville s. green
h. k. tseng;r. h. pratt
m.  sebata;a.  kuwako
b.  rooney;m. a. whitehead
fernando j. da paixão;david c. cartwright
d. a. kranz;n. b. abraham
erich  weigold;k. j. nygaard
r. l. champion;b. t. smith
hugh m. van horn;v. m. kenkre
j. d. knight;robert a. naumann
p. e. cladis;william b. daniels
james g. lunney;m. h. key
d.  klimek;m.  kovacs
david j. pegg;ivan a. sellin
sumiaki  ibuki;noriaki  tsukada
h.  en'yo;t.  numao
alfred x. trautwein;vishnu r. marathe
thomas n. rescigno;clyde w. mccurdy
m. l. rustgi;werner  brandt
c. wang chang;james r. stallcop
michael  wortis;s. h. chang
ricardo  ruiz;david r. nelson
j. f. baret;j. j. dupin
james s. cohen;j. norman bardsley
william g. hoover;galen k. straub
c.  la mesa;g.  d'arrigo
g. f. hildebrandt;k. a. smith
meera  chandrasekhar;duane a. dolejsi
guido lo vecchio;alexander  tenenbaum
d. m. blankenship;john t. park
r.  buchwald;g.  bertschinger
philip d. miller;g. d. alton
joseph  sucher;john  hiller
marc  baus;jürgen  bosse
donald j. harter;robert w. boyd
n. r. sauthoff;k. w. hill
w. f. saam;c.  ebner
srinivasan  krishnamurthy;arthur j. schwartz
akiva  ron;young soon kim
p. p. ho;r. r. alfano
j. j. reidy;t.  von egidy
sadao  nakai;chiyoe  yamanaka
karol  jankowski;josef  paldus
a.  langenberg;john r. white
john d. morgan;maria  hoffmann-ostenhof
jack  sugar;victor  kaufman
annabella  selloni;paolo  schwendimann
matt d. brown;l. b. bridwell
gregory j. hatton;thomas g. winter
barry d. krawchuk;harry l. frisch
e.  redd;t. j. kvale
p. j. martin;t. j. kvale
j. a. edighoffer;wayne d. kimura
c. m. lee;walter r. johnson
y.  baudinet-robinet;p. d. dumont
t. m. kwon;c. h. volk
wim  hogervorst;eric r. eliel
walter i. goldburg;arthur j. schwartz
william b. hubbard;m. f. ross
miroslav  grmela;leopoldo s. garcia-colin
david a. shirley;s. t. lee
prasanta kumar mukherjee;h. p. roy
frederick a. grimm;david  mehaffy
john  finn;allan  reiman
marc  hou;b.  suleman
j. c. camparo;avinash c. sharma
w. j. pietsch;p. j. cooney
thomas k. lo;abner  shimony
p.  greve;h. j. kunze
r. h. pratt;young soon kim
c. h. ma;mitsuko  murakami
paul l. devries;c. wang chang
jean  désesquelles;alain  denis
peter  winkler;johannes  richter
thomas j. morgan;j. a. stone
frank e. harris;bogumił  jeziorski
s.  von goeler;k. w. hill
johannes  richter;robert  yaris
harald  pleiner;helmut r. brand
d. d. hinshelwood;michael s. feld
j. p. miller;h. e. henrikson
c. l. cromer;william e. cooke
mati  meron;i.  gertner
a. c. roy;n. c. sil
h.  azechi;a.  tamura
david r. cok;stephen r. lundeen
j. l. duggan;r. k. rice
bruce j. west;katja  lindenberg
paolo  di porto;salvatore  solimeno
w. e. kauppila;j. p. downing
v. kelvin neil;d.  prosnitz
annie  chetioui;a.  touati
k.  arnett;t. j. kvale
l.  letamendia;j. p. chabrat
bernard j. feldman;robert a. fisher
w.  schubert;g.  saemann-ischenko
c. c. bahr;john r. white
t. p. das;s. n. ray
bruno  crosignani;salvatore  solimeno
a.  huetz;f.  gresteau
thomas f. george;bernard  laskowski
j. m. george;t. j. kvale
l. m. humphrey;r.  panock
ian e. mccarthy;andris t. stelbovics
j.  welch;dan  dill
puspajit  mandal;n. c. sil
michael g. raymer;jan  mostowski
c. m. tang;phillip  sprangle
alan a. hahn;f.  boehm
aaron d. krumbein;hans r. griem
s.  dousson;n.  chan-tung
young soon kim;z. r. iwinski
lars  engström;indrek  martinson
d.  van houtte;j.  aubert
h.  villinger;franz  howorka
kim m. jones;arthur l. schawlow
gordon r. freeman;toshinori  wada
bill  sutherland;daniel charles mattis
p. h. edmonds;c. h. ma
james h. mcguire;t. j. kvale
indrek  martinson;bjarne  andresen
p. a. thompson;p. o. egan
yoshifumi  harada;yoshio  ishida
m.  de saint-simon;j. l. vialle
j.  laane;h.  fietz
h. e. henrikson;a. r. kunselman
r. l. champion;m.  vedder
j. p. connerade;m. aslam baig
frank w. kutzler;sebastian  doniach
james h. mcguire;john t. park
thomas t. kwan;john r. cary
david c. cartwright;santosh k. srivastava
r. s. hornady;p.  greve
l. m. diana;p. g. coleman
leon  gunther;yoseph  imry
h.  azechi;chiyoe  yamanaka
michael h. proffitt;lothar  frommhold
ram k. varma;padma kant shukla
w. e. kauppila;m. s. dababneh
k.  brau;e. g. silver
c. j. orth;robert a. naumann
m.  de saint-simon;a.  pesnelle
john f. reading;richard l. becker
baruch  rosner;alfred k. mann
daniel c. lu;h.  orth
s.  hoppenau;p.  schorn
tomoya  akiba;kazunaru  tomishima
david g. stroud;k. k. mon
ring ling  chien;john a. duncanson
g.  zannoli;gonzalo  gutiérrez
mau hsiung chen;gene e. ice
abner  shimony;thomas k. lo
fumihiro  koike;h. s. suzuki
david  mehaffy;james w. taylor
h.  egger;r. t. hawkins
george h. gillespie;mitio  inokuti
ezechiel d. cohen;i. m. de schepper
k. k. mon;david g. stroud
seppo  aksela;helena  aksela
larry d. gardner;r. s. peterson
galen k. straub;bill  moran
w. derek robb;lee a. collins
d. m. blankenship;j. e. aldag
massimo  mazzoni;alberto m. cantù
h.  schneuwly;petr  vogel
j.  smolorz;s.  röhl
s.  büttgenbach;s.  liberman
shyamal  datta;c. r. mandal
d.  dhuicq;d.  dowek
a.  huetz;j.  mazeau
i. v. mitchell;p. h. mokler
mati  meron;baruch  rosner
j.  feugeas;v.  nardi
j. e. aldag;e.  redd
g.  nouchi;c.  vaucamps
bernard  malraison;y.  poggi
r. c. isler;p. h. edmonds
s. r. ryan;l. c. mcintyre
s.  liberman;robert  klapisch
tsutomu  watanabe;hiroshi  ryufuku
luiz  davidovich;humberto s. brandi
davide  bassi;giacinto  scoles
w.  neuhauser;hans g. dehmelt
h. j. kunze;p.  greve
leopoldo s. garcia-colin;miroslav  grmela
h. p. garnir;y.  baudinet-robinet
a. j. ratkowski;p. j. cooney
m.  lieber;f. t. chan
melville s. green;hermann  grabert
petr  vogel;alan a. hahn
m. a. popelier;j.  wijnhorst
roy j. glauber;joseph w. haus
arne w. fliflet;deborah a. levin
james e. bayfield;y. z. gulkok
d. p. tewari;v. k. tripathi
r. e. salomaa;erkki  kyrölä
r. e. kennerly;r. j. van brunt
ravinder  kachru;thomas w. mossberg
salvatore  iannotta;s.  marchetti
calogero renzo natoli;sebastian  doniach
guy  dewel;daniel  walgraef
j. p. buchet;jean  désesquelles
c. a. pelizzari;t. a. postol
j. e. aldag;t. j. kvale
vernon w. hughes;g. zu putlitz
p.  hautojärvi;risto m. nieminen
nelson  cue;bruce j. zabransky
alex  dalgarno;s. e. butler
karl h. spatschek;m. y. yu
alexander b. rechester;marshall n. rosenbluth
r. s. schneider;phillip  sprangle
n. v. de castro faria;a. g. de pinho
u.  weinert;edward a. mason
ali a. antar;c. m. jones
j.  campos;carl  nordling
peter  salamon;r. stephen berry
savo  bratos;george  birnbaum
deva n. pattanayak;govind p. agrawal
m. f. achard;a. m. levelut
jeffrey  bokor;r. h. storz
ramarao  inguva;k. d. lain
p. c. gane;f.  moussa
richard r. freeman;j. c. white
t.  numao;toshimitsu  yamazaki
w.  butscher;w. e. schwarz
t. w. crane;m. h. yam
william h. wing;john w. farley
r. m. measures;m. r. arnfield
t. g. heil;alex  dalgarno
d. b. pearson;j. e. bjorkholm
j. e. aldag;d. m. blankenship
santosh k. srivastava;sandor  trajmar
hiroyuki m. tanaka;santosh k. srivastava
h.  ted davis;p. h. kleban
n. t. padial;fernando j. da paixão
p.  ranson;gérard  coulaud
w. g. graham;k. r. stalder
william  happer;natarajan d. bhaskar
p. j. martin;j. e. aldag
t. a. osborn;r. g. froese
r. a. kenefick;john r. white
j.  campos;t.  noreland
bruce j. zabransky;k.  inglis
e.  bovet;h. e. henrikson
w.  lindinger;h.  ramler
michael j. cavagnero;d. b. kimball
kazuyoshi  yamada;r.  schieder
pierre  borckmans;guy  dewel
arturo  bambini;stig  stenholm
thomas g. winter;neal f. lane
david a. shirley;richard a. rosenberg
s. k. hark;n. r. chen
r. m. hornreich;shmuel  shtrikman
k. d. luks;eok k. lee
r. aaron falk;d.  leep
s.  büttgenbach;p. l. pillet
tsutomu  yabuzaki;tetsuo  ogawa
k.  hamano;m.  kaneko
annie  chetioui;michel  tavernier
john t. ho;j.  her
a.  mandl;d.  klimek
steven trent manson;warren  ong
e.  gürmen;j. s. lin
g. zu putlitz;p. o. egan
jayanth r. banavar;siddheswar  chaudhuri
a. t. lin;paulett c. liewer
j. p. buchet;x.  husson
a.  beckmann;wolfgang  kiefer
m. s. kaschiev;sergue i. vinitsky
jonathan  machta;itamar  procaccia
gernot  alber;roman  salvador
k. e. miyano;john b. ketterson
w. r. garrett;m. g. payne
alvin m. halpern;victor  franco
brian f. davis;kwong t. chung
i.  gertner;baruch  rosner
w. g. graham;j. warren stearns
j. a. tanis;k. r. stalder
n.  chan-tung;b.  jacquot
r. j. girnius;l. wilmer anderson
bill  moran;anthony c. ladd
bernard  held;claude  deutsch
n. w. ashcroft;risto m. nieminen
d. w. ernie;h. j. oskam
w. derek robb;michael a morrison
p.  esfandiari;jan v. sengers
m.  bitter;d. e. post
yoshishige  suzuki;a.  tamura
e. a. lazarus;c. h. ma
a. w. mccown;munir h. nayfeh
tom j. gray;e. b. justiniano
robert e. knight;frank c. sanders
susan m. tarr;james a. schiavone
lawrence  wilets;c. l. kirschbaum
j. k. weiss;michael  tabor
r.  saxena;robert  gilmore
m.  cadilhac;h.  bacry
susan m. tarr;robert s. freund
p. o. egan;vernon w. hughes
n.  chaudhuri;n. c. paul
arthur g. zajonc;arthur v. phelps
frank s. tomkins;fred l. roesler
a. r. kunselman;j. p. miller
p. w. fung;c. c. lau
k. j. nygaard;l.  frost
k.  sera;m.  kamiya
chun ching  shih;amnon  yariv
n. w. ashcroft;stephen m. foiles
benjamin  bederson;a.  tino
daniel f. walls;kenneth j. mcneil
a. t. georges;s. n. dixit
pierre  borckmans;daniel  walgraef
peter e. toschek;m.  hohenstatt
joseph j. spezeski;l. c. mcintyre
t. e. jackman;david f. phillips
john c. huang;d. a. kranz
a. m. smeets;l.  vriens
j. t. hutton;john d. mcnutt
